Inspection_ID,DBA_Name,AKA_Name,License_#,Facility_Type,Risk,Address,City,State,Zip,Inspection_Date,Inspection_Type,Results
2556920,BISTRO,BISTRO,2846049.0,Restaurant,Risk 1 (High),1400 S JEAN BAPTISTE POINTE DUSABLE LAKESHORE DR ,CHICAGO,IL,60605.0,06/07/2022,License,Pass
2556352,SHELL,SHELL,2850237.0,Grocery Store,Risk 3 (Low),45 N WESTERN AVE ,CHICAGO,IL,60612.0,05/26/2022,License,Pass
2556328,JIAS LLC,JIAS,2822396.0,Restaurant,Risk 1 (High),x3119 W LAWRENCE AVE ,CHICAGO,IL,60625.0,05/25/2022,Canvass,Out of Business
2555346,TAQUERIA MI PUEBLO,,2845473.0,,All,1905 W 51ST ST ,CHICAGO,ILxa,60609.0,05/05/2022,License,Not Ready
2555141,10 SOUTH MARKET,10 SOUTH MARKET,2845404.0,,All,10 S LA SALLE ST LBBY ,CHICAGO,IL,60603.0,05/03/2022,License,Not Ready
2549752,MOMOTARO,MOMOTARO,2319777.0,Restaurant,Risk 1 (High),820 W LAKE ST ,CHICAGO,ILxa,60607.0,02/14/2022,Non-Inspection,No Entry
2549607,Buyk,Buyk,2831377.0,,Risk 3 (Low),3621 N WESTERN AVE ,CHICAGO,IL,60618.0,02/09/2022,License,Not Ready
2546489,WATRA,WATRA,37835.0,bar,Risk 3 (Low),4758 S PULASKI RD ,xCHICAGO,IL,60632.0,01/13/2022,Complaint,No Entryee
2546282,MEZCALINAx,MEZCALINA,2138371.0,Restaurant,Risk 1 (High),333 E BENTON PL ,CHICAGO,IL,60601.0,01/07/2022,Canvass,Out of Business
2546123,CHIPMONKS,CHIPMONKS,2688790.0,Restaurant,Risk 1 (High),x438 W DIVERSEY PKWY ,CHICAGO,ILxa,60614.0,01/04/2022,Complaint,Fail
2545905,7-Eleven #240606B,7-ELEVEN,2823113.0,Restaurant,Risk 2 (Medium),2600 N LINCOLN AVE ,CHICAGO,IL,60614.0,12/21/2021,License,Pass
2545810,481725,BUYK CORP,2827177.0,,Risk 3 (Low),1451 S BLUE ISLAND AVE ,CHICAGO,ILxa,60608.0,12/17/2021,License,Not Ready
2545752,EXXON,EXXON,2817855.0,Grocery Store,Risk 3 (Low),3202 W CERMAK RD ,CHICAGO,IL,60623.0,12/16/2021,License,Pass
2545729,LM CATERING,LM CATERING,2458452.0,Catering,Risk 1 (High),1932 W LAKE ST ,CHICAGO,IL,60612.0,12/16/2021,Canvass,Out of Business
2545669,MIXTECO GRILL #3 LLC,MIXTECO GRILL #3 LLC,2823196.0,Restaurant,Risk 1 (High),1209-11 N NOBLE ST ,CHICAGO,IL,60642.0,12/15/2021,License,Pass
2545639,MR. WANGx,MR. WANG,2283505.0,Restaurant,Risk 1 (High),2171 S CHINA PL ,CHICAGO,IL,60616.0,12/15/2021,Canvass,Out of Business
2545558,GREAT WALL GIFTS AND GROCERY,,2309265.0,Grocery Store*,Risk 1 (High),2806 S WENTWORTH AVE ,CHICAGO,IL,60616.0,12/14/2021,Non-Inspection,No Entry
2545602,NIAGARA,NIAGARA,2766718.0,,All,2658 1/2 W DEVON AVE ,CHICAGO,IL,60659.0,12/14/2021,Canvass,Out of Business
2545493,HAYDEN HALL,,2677678.0,Restaurant*,Risk 2 (Medium),333 S WABASH AVE ,xCHICAGO,IL,60604.0,12/13/2021,Canvass,Out of Business
2545206,TAZA MART,TAZA MART,2817631.0,Grocery Store*,Risk 2 (Medium),5356 N LINCOLN AVE ,CHICAGO,IL,60625.0,12/08/2021,License Re-Inspection,Pass
2545041,JOE & THE JUICE,JOE & THE JUICE,2822559.0,Restaurant,Risk 1 (High),x233 S WACKER DR ,CHICAGO,IL,60606.0,12/03/2021,License,Pass
